session,user_id,sku_id,time,price,discount,purchase
7198,2CADDE6F66115CF3,2003759,272,409,0,0
7215,2CC19E275F79E833,2003759,126,9,1,0
7265,2D290414D19399D6,2003759,0,409,0,0
7326,2D7E034F77AACB4D,2003759,78,9.5,1,1
7366,2DE396A41AE11F1C,2003759,60,9,1,1
7367,2DE396A41AE11F1C,2003759,60,19,0,1
7594,300F43133E76714B,2003759,60,9.3,1,0
7628,305B2D0A0A2F6FC3,2003759,0,409,0,0
7638,30691D17521EEC47,2003759,120,409,0,1
7637,30691D17521EEC47,2003759,60,409,0,0
7669,308F4604388692D4,2003759,0,409,0,0
7850,31167D928A67AABE,2003759,7,409,0,0
7849,31167D928A67AABE,2003759,0,409,0,0
7881,3162D489A7B953BD,2003759,138,409,0,0
7942,31C3A37059203C54,2003759,505,14.125,1,1
7942,31C3A37059203C54,2003759,505,14.125,1,1
7941,31C3A37059203C54,2003759,60,9,1,0
7940,31C3A37059203C54,2003759,60,9,1,0
7939,31C3A37059203C54,2003759,60,11,1,0
7938,31C3A37059203C54,2003759,60,1.1,1,0
7937,31C3A37059203C54,2003759,60,8,0,0
7946,31C5EC50811F45B8,2003759,117,409,0,1
7975,31EDD11453BA164D,2003759,58,409,0,0
7984,31FE25E1A5FF2D53,2003759,2694,409,0,1
7984,31FE25E1A5FF2D53,2003759,2694,409,0,1
8040,328D50695EBE92A2,2003759,136,9,1,1
8040,328D50695EBE92A2,2003759,136,9,1,1
8041,328D50695EBE92A2,2003759,60,9.5,1,0
8038,328D50695EBE92A2,2003759,60,8,0,0
8037,328D50695EBE92A2,2003759,60,14,1,0
8188,33891F5D81EE5947,2003759,219,9,1,1
8187,33891F5D81EE5947,2003759,60,9.3,1,0
8225,33EC222B3B788552,2003759,60,8,0,0
8263,33FF6C08047FB3AB,2003759,60,9,1,1
8283,3422E7FDE56E8F2A,2003759,1714,19,0,0
8327,3451AC62657E8D56,2003759,130,9.2,1,1
8351,3490E3759BE4A025,2003759,0,409,0,0
8349,3490E3759BE4A025,2003759,0,409,0,0
8491,353D91E782FFC0C2,2003759,105,19,0,0
8532,356E1DB51FED9F16,2003759,295,13,1,0
8607,35CE010AA02C6304,2003759,60,9.3,1,0
8606,35CE010AA02C6304,2003759,60,9.3,0,0
8603,35CE010AA02C6304,2003759,60,19,0,0
8620,35F9D0541420AF47,2003759,1203,409,0,1
8620,35F9D0541420AF47,2003759,1203,409,0,1
8620,35F9D0541420AF47,2003759,1203,409,0,1
