user_id,session,date,total_clicks,item_clicks,multi_channel,avg_time_in_one_click,total_time_in_a_session,avg_price,purchase,num_transaction,discount,purchase_discount,new,weekday,weekend,year,week,month
00A62514FCF38828,85,14-Mar-16,2,2,0,211.5,423,37,1,1,1,1,0,2,0,2016,12,3
00A62514FCF38828,86,1-Jul-15,3,3,0,53.33333333,160,85.6,0,0,0,0,0,4,0,2015,27,7
00A62514FCF38828,87,16-May-15,4,4,0,190.75,763,79.8,1,2,1,1,0,7,1,2015,20,5
00A62514FCF38828,88,12-May-15,1,1,0,60,60,79.8,0,0,0,0,0,3,0,2015,20,5
00A81D5B342DA80D,89,4-Sep-16,2,2,0,61.5,123,77.04,0,0,1,0,0,1,1,2016,37,9
00B326EF074B1B72,90,19-May-16,3,3,0,25,75,54,0,0,1,0,0,5,0,2016,21,5
00B326EF074B1B72,91,22-Oct-15,1,1,0,60,60,109.7,0,0,1,0,0,5,0,2015,43,10
00B326EF074B1B72,92,7-Sep-15,10,10,0,191.3,1913,71.93777778,1,1,1,1,0,2,0,2015,37,9
00B326EF074B1B72,93,23-Aug-15,3,3,0,79.33333333,238,,0,0,0,0,0,1,1,2015,35,8
00B326EF074B1B72,94,27-Jun-15,1,1,0,60,60,68,0,0,0,0,0,7,1,2015,26,6
00B326EF074B1B72,95,1-Jun-15,2,2,0,241.5,483,105,0,0,1,0,1,2,0,2015,23,6
00B326EF074B1B72,96,25-May-15,1,1,0,60,60,200,0,0,0,0,1,2,0,2015,22,5
00B326EF074B1B72,97,13-Apr-15,2,2,0,43,86,108,0,0,1,0,1,2,0,2015,16,4
00B326EF074B1B72,98,11-Apr-15,4,4,0,265.25,1061,105,0,0,1,0,1,7,1,2015,15,4
00BA999E2F3F65E6,99,10-Nov-16,1,1,0,60,60,,0,0,0,0,0,5,0,2016,46,11
00BA999E2F3F65E6,100,6-Jun-16,1,1,0,120,120,62.9,0,0,1,0,0,2,0,2016,24,6
00C5003DAC9CAA2F,101,11-Nov-16,4,4,0,224.5,898,83.425,0,0,1,0,0,6,0,2016,46,11
00C5003DAC9CAA2F,102,10-Oct-16,3,3,0,40.33333333,121,91.66666667,0,0,1,0,0,2,0,2016,42,10
00C5003DAC9CAA2F,103,5-Oct-16,6,6,0,109.3333333,656,96.38,0,0,1,0,0,4,0,2016,41,10
00C5003DAC9CAA2F,104,31-Aug-16,1,1,0,60,60,98,0,0,0,0,0,4,0,2016,36,8
00C5003DAC9CAA2F,105,17-Aug-16,2,2,0,90.5,181,83,0,0,1,0,0,4,0,2016,34,8
00C5003DAC9CAA2F,106,2-Apr-15,5,5,0,27,135,138.8,0,0,1,0,0,5,0,2015,14,4
00C5003DAC9CAA2F,107,8-Mar-15,5,5,0,94,470,121.66,0,0,1,0,0,1,1,2015,11,3
00C537EC38A51042,108,28-Mar-16,1,1,0,60,60,56.16,0,0,0,0,0,2,0,2016,14,3
00C537EC38A51042,109,2-Aug-15,1,1,0,60,60,108,0,0,1,0,0,1,1,2015,32,8
00C537EC38A51042,110,24-Jul-15,3,3,0,69,207,104.6666667,1,1,1,1,0,6,0,2015,30,7
00C537EC38A51042,111,14-Jun-15,4,4,0,22.75,91,185.25,0,0,1,0,0,1,1,2015,25,6
00C537EC38A51042,112,28-Jan-15,2,2,0,60,120,85,0,0,1,0,0,4,0,2015,5,1
00C7733F92984CBB,113,9-Nov-16,3,3,1,65,195,22.93333333,0,0,0,0,0,4,0,2016,46,11
00C7733F92984CBB,114,6-Nov-16,5,5,1,282.6,1413,57.88,1,1,1,0,0,1,1,2016,46,11
00C7733F92984CBB,115,2-Nov-16,1,1,0,60,60,102,0,0,1,0,0,4,0,2016,45,11
00C7733F92984CBB,116,28-Oct-16,1,1,0,120,120,,0,0,0,0,0,6,0,2016,44,10
00C7733F92984CBB,117,19-Jun-16,2,2,0,35.5,71,86.9,0,0,1,0,0,1,1,2016,26,6
00C7733F92984CBB,118,18-Jun-16,1,1,0,60,60,229,0,0,1,0,0,7,1,2016,25,6
00C7733F92984CBB,119,14-Jun-16,1,1,0,60,60,29.6,0,0,0,0,0,3,0,2016,25,6
00C7733F92984CBB,120,31-Dec-15,1,1,0,65,65,21,0,0,1,0,0,5,0,2015,53,12
00C7733F92984CBB,121,10-Dec-15,2,2,0,189.5,379,70.25,0,0,1,0,0,5,0,2015,50,12
00C7733F92984CBB,122,27-Oct-15,1,1,0,60,60,21,0,0,1,0,0,3,0,2015,44,10
00C7733F92984CBB,123,22-Oct-15,1,1,0,60,60,78,0,0,0,0,0,5,0,2015,43,10
00C7733F92984CBB,124,18-Jun-15,1,1,0,120,120,9.9,0,0,1,0,0,5,0,2015,25,6
00C7733F92984CBB,125,1-Jun-15,2,2,0,60,120,149.45,0,0,1,0,1,2,0,2015,23,6
00C7733F92984CBB,126,20-May-15,1,1,0,60,60,10,0,0,1,0,1,4,0,2015,21,5
00C7733F92984CBB,127,30-Apr-15,1,1,0,61,61,0,0,0,0,0,1,5,0,2015,18,4
00C7733F92984CBB,128,2-Jan-15,1,1,0,60,60,,0,0,0,0,1,6,0,2015,1,1
00CA4380022D290F,129,4-Oct-16,1,1,0,60,60,,0,0,0,0,0,3,0,2016,41,10
00CA4380022D290F,130,17-Jun-16,8,8,0,89.5,716,59.73333333,0,0,1,0,0,6,0,2016,25,6
00CA4380022D290F,131,26-Mar-16,1,1,0,60,60,,0,0,0,0,0,7,1,2016,13,3
00CA4380022D290F,132,16-Mar-16,12,12,0,223.5,2682,69.69090909,1,2,1,1,1,4,0,2016,12,3
00CD4428B334624C,133,29-Oct-16,4,4,0,120.25,481,69.4,0,0,1,0,0,7,1,2016,44,10
00CD4428B334624C,134,21-Oct-16,1,1,0,60,60,,0,0,0,0,0,6,0,2016,43,10
00CD4428B334624C,135,9-Oct-16,3,3,0,119,357,86.9,0,0,0,0,0,1,1,2016,42,10
00CD4428B334624C,136,7-Oct-16,2,2,0,30.5,61,,0,0,0,0,0,6,0,2016,41,10
00CD4428B334624C,137,5-Oct-16,3,3,0,59.33333333,178,,0,0,0,0,0,4,0,2016,41,10
00CD4428B334624C,138,4-Nov-15,1,1,0,60,60,,0,0,0,0,0,4,0,2015,45,11
00CD4428B334624C,139,23-Sep-15,2,2,0,71.5,143,48,0,0,1,0,0,4,0,2015,39,9
00CD4428B334624C,140,20-Aug-15,1,1,0,60,60,78.9,0,0,1,0,0,5,0,2015,34,8
00D5CE129C425D08,141,23-Jun-15,2,2,0,60,120,21.95,0,0,1,0,0,3,0,2015,26,6
00D95B320D8EB4BE,142,6-Nov-16,3,3,1,85.66666667,257,64.43333333,1,1,1,1,0,1,1,2016,46,11
00E7F33E229A1BFC,143,5-Nov-16,7,7,0,52.28571429,366,58.64285714,0,0,1,0,0,7,1,2016,45,11
00E7F33E229A1BFC,144,4-Oct-16,1,1,0,63,63,89,0,0,1,0,0,3,0,2016,41,10
00E7F33E229A1BFC,145,11-Sep-16,1,1,0,60,60,86.9,0,0,1,0,0,1,1,2016,38,9
00EEF31902F8325B,146,14-Jan-16,1,1,0,60,60,15,0,0,1,0,0,5,0,2016,3,1
00EEF31902F8325B,147,19-Jun-15,1,1,0,60,60,94.8,0,0,1,0,0,6,0,2015,25,6
00F046E41BF8A29E,148,9-Dec-16,1,1,0,62,62,44.7,0,0,0,0,0,6,0,2016,50,12
